,Hospital Name,Hospital Address,City Name,Pin Code,State,Hospital Type,Contact Number
391,SRI LAKSHMI MATERNITY AND SURGICAL NURSING HOME - GUNTUR,"D.NO: 12-25-24,BESIDE SIVALAYAM,KOTHAPET", GUNTUR, 522001, ANDHRA PRADESH, PPN, [863]2222740
392,RADHA KRISHNA NETRALAYA - BHIMAVARAM,"D No 27-11-7/3, RK MANOR, JUVVALAPALEM ROAD, OLD BJP OFFICE ROAD, BHIMAVARAM, ANDHRA PRADESH - 534202", BHIMAVARAM, 534202, ANDHRA PRADESH, PPN, [8816]222344
393,DR MADHU SUPER SPECIALITIES - VIJAYAWADA,"#33-18-12,CHALASANI VENKATA KRISHNAIAHSTREET, NEAR PUSHPA HOTEL,SURYARAOPET, VIJAYAWADA-520002", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [0866]2444188
394,RAMA NETHRALAYA - MADANPALLE,"# 4-3-2, RANGANATHA COMPLEX, BESIDE APOLLO PHARMACY KRISHNA NAGAR 1ST CROSS ENTRANCE NEAR SRI KRISHNA KALYANAMANDAPAM, MADANPALLE CHITTOOR DIST", MADANAPALLE, 517325, ANDHRA PRADESH, PPN, [0]9491603212
395,SAI NURSING HOME - ONGOLE,"OPP:SUNDARAIAH BHAVAN, BRUNDRAVAN NAGAR, NEAR RTC BUS STAND ONGOLE, ANDHRA PRADESH", ONGOLE, 523002, ANDHRA PRADESH, PPN, [8592]9440266606
396,SREE HOSPITAL - TIRUPATI,"22-6-76/1, AKKARAMPALLI ROAD, OPP. LEPROSY HOSPITAL, TIRUPATI. - 517507", TIRUPATI, 517507, ANDHRA PRADESH, PPN, [877]9966639974
397,SRI BALAJI HOSPITALS - GUNTUR,"51-22-526, YADAVALLIVARI STREET, KOTHAPET, GUNTUR", GUNTUR, 522001, ANDHRA PRADESH, PPN, [0863]0863-2322355
398,SANJEEVA NETHRALAYA - NANDYAL,"H.NO: 25/559A, OPP SYNDICATE BANK, SREENIVASA NAGAR NANDYAL KURNOOL DIST ANDHRA PRADESH", NANDYAL, 518501, ANDHRA PRADESH, PPN, [0]08514295678
399,RAMETI MULTI SPECIALITY HOSPITAL - VISAKHAPATNAM,"15-12-13/A, Zilla Parishad, Krishna Nagar, Near Radha Krishna Temple, Visakhapatnam - 530002", VISAKHAPATNAM, 530002, ANDHRA PRADESH, PPN, [891]9000222900
400,MEDICOVER HOSPITALS (UNIT OF SAHRUDAYA HEALTH CARE PRIVATE LIMITED) - KAKINADA,"3-119, ADB COLONY, PANASAPADU, KAKINADA, ANDHRA PRADESH", KAKINADA, 533005, ANDHRA PRADESH, PPN, [40]68334455
401,DELTA HOSPITALS (UNIT OF RAJAMAHENDRI HEALTHCARE PRIVATE LIMITED) -RAJAHMUNDRY,"OPP ONGC Base complex, Venkateswara nagar, Venkateswara nagar, Rajahmundry, Andhra Pradesh - 533103", RAJAHMUNDRY, 533103, ANDHRA PRADESH, PPN, [0883]7989864810
402,LAKSHMI KISHORE HOSPITAL - PRODDATUR,"#5-1895, GEETHA ASHRAM STREET, GANDHI ROAD,PRODDATUR, YSR KADAPA,ANDHRA PRADESH-516360", PRODDATUR, 516360, ANDHRA PRADESH, PPN, [8564]9000249144
403,SAI NETRALAYAM LASER CENTRE - NARASARAOPET,"10-9-14, PALANADU ROAD , NARASARAOPET , ANDHRA PRADESH - 522601", NARASARAOPET, 522601, ANDHRA PRADESH, PPN, [08647]9949179302
404,SOWJANYA HOSPITALS - VIJAYAWADA,"D.NO :29-23-23,TADEPALLI VARI STREET,SURYARAO PET, SURYARAO PET, VIJAYAWADA - 521002", VIJAYAWADA, 521002, ANDHRA PRADESH, PPN, [0866]243222
405,ANUPAMA CHILDREN HOSPITAL - VISAKHAPATNAM,"D.NO.47-9-21, DWARAKANAGAR 3RD LINE", VISAKHAPATNAM, 530016, ANDHRA PRADESH, Other, [891]6662122
406,IMPERIAL HOSPITALS (UNIT OF MUKUNDA HEALTHCARE PRIVATE LIMITED) - BHIMAVARAM,"27-14-13/4 OPP GANESH CANTEEN, BESIDE BHASYAM SCHOOL, J P ROAD, BHIMAVARAM", BHIMAVARAM, 534202, ANDHRA PRADESH, PPN, [8816]279999
407,BHANU EYE CARE CENTRE - VISAKHAPATNAM,"NH-5 ROAD, CHINAGANTYADA, MAIN ROAD, CHINAGANTYADA, VISAKHAPATNAM -530026", VISAKHAPATNAM, 530026, ANDHRA PRADESH, PPN, [0891]2517083
408,ROOPA ORTHOPAEDIC AND MULTISPECIALITY HOSPITAL - VIJAYAWADA,"73-5-3, Ramayanapu Street, Bandar Road Landmark: Opposite High School Road Bus Stop Patamata, Vijayawada", VIJAYAWADA, 522001, ANDHRA PRADESH, PPN, [0866]0866-6666108
409,KRISHNA CHILDRENS HOSPITAL - VISAKHAPATNAM,"43-4-23 RAILWAY NEW COLONY, RAILWAY NEW COLONY, NEAR KAMALAMMA HOSPITAL ROAD, VISAKHAPATNAM, ANDHRA PRADESH - 53001", VISAKHAPATNAM, 530016, ANDHRA PRADESH, PPN, [891]2514556
410,SURE VISION EYE HOSPITALS - GUNTUR,"D.NO :7-11-42,FIRST FLOOR, GANGANAMMAPET ,TENALI, GANGANAMMAPET, GUNTUR, ANDHRA PRADESH -522201", GUNTUR, 522201, ANDHRA PRADESH, PPN, [08644]222499
411,ANIL NEERUKONDA HOSPITAL - VISHAKAPATNAM,"SANGHIVALASA,BHIMUNIPATNAM", VISAKHAPATNAM, 531162, ANDHRA PRADESH, PPN, [891]2821111
412,CHAITANYA CARDIAC CENTER - ONGOLE,"BESIDE A.K.V.K. COLLEAGE ANJAIAH ROAD, PRAKASAM DIST, ANDHRA PRADESH, ONGOLE", ONGOLE, 523001, ANDHRA PRADESH, PPN, [0]08592296333
413,PASUPULETI NURSING HOME - KADAPA,"4-370 INFRONT OF HP GAS NEAR RAVI GROUP OF THEATERS, NAGARAJUPETA, KADAPA, ANDHRA PRADESH -516001", KADAPA, 516001, ANDHRA PRADESH, PPN, [08562]242669
414,DR B JAWAHAR NURSING HOME - CHIMAKURTHY,"2-59/A, NAWABPET, MAIN ROAD, CHIMAKURTHY, ANDHRA PRADESH - 523226", CHIMAKURTHY, 523226, ANDHRA PRADESH, PPN, [08592]272528
415,K V NURSING HOME - ONGOLE,"SANTHAPET, Kamasastri Vari Veedhi, PRAKASAM, ONGOLE, ANDHRA PRADESH -523001", ONGOLE, 523001, ANDHRA PRADESH, PPN, [8592]232033
416,SANJANA HOSPITAL - TIRUPATI,"BACHALA TOWERS, NEAR LAKSHMIPURAM CIRCLE, TIRUPATI,", TIRUPATI, 517501, ANDHRA PRADESH, PPN, [877]2238841
417,SURAKSHA SUPERSPECIALTY HOSPITAL - KADAPA,"Sankarapuram, Opp Blind School, Kadapa, Andhra Pradesh - 516001", KADAPA, 516001, ANDHRA PRADESH, PPN, [8562]228525
418,SMART VISION EYE SPECIALITIES PVT LTD - VIJAYAWADA,"S. No. 29-28, 1-4, Kovelamudivari Street, Suryaraopet, Moghalrajpuram, Vijayawada, Andhra Pradesh -520002", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [0866]9290177911
419,K K HOSPITALS - VIJAYAWADA,"32-2/1-3A, RATNAMAMBA STREET, PRAJASAKTHI NAGAR, MOGALRAJPURAM, MOGALRAJPURAM, OPP METRO SUPER MARKET, VIJAYAWADA - A.P - 520010", VIJAYAWADA, 520010, ANDHRA PRADESH, PPN, [0]9985835771
420,BELEAF HOSPITALS - VIJAYAWADA,"#29-26-60,JAGADAMAVARI ST,SURYAOPET, VIJAYAWAD-520002", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [0866]3500210
421,VANAMALI HOSPITAL - KURNOOL,"GAYATHRI ESTATE,KURNOOL", KURNOOL, 518002, ANDHRA PRADESH, PPN, [8518]9985833338
422,SRI VENKATESWARA INSTITUTE OF MEDICAL SCIENCES (SVIMS) - TIRUPATI,ALIPIRI ROAD, TIRUPATI, 517507, ANDHRA PRADESH, Other, [877]2287777
423,SHREYAS ORTHO AND SKIN MULTISPECIALITY HOSPITAL - VIJAYAWADA,"#76-16-9/16,BESIDE URMILA NAGAR CHURCH,URMILA NAGAR, BHAVANIPURAM,VIJAYAWAD-520012", VIJAYAWADA, 520012, ANDHRA PRADESH, PPN, [0866]2419999
424,TIRUMALA PUNEETH ENT & SKIN HOSPITAL - NANDYAL,"25-174A SANJEEVA NAGAR,NANDYAL, ANDHRA PRADESH - 518501", NANDYAL, 518501, ANDHRA PRADESH, PPN, [91]6309716699
425,LOTUS HOSPITALS FOR WOMEN & CHILDREN (UNIIT OF SRI VISWA MEDICARE LIMITED) - VISAKHAPATNAM,"10-59-9, OPP.WALTAIR CLUB, SRIRIPURAM, VISAKHAPATNAM", VISAKHAPATNAM, 530003, ANDHRA PRADESH, PPN, [891]6656666 / 6699
426,SRI SAI SATYA HOSPITAL - KURNOOL,"46/1SS-1, SAPTHAGIRI NAGAR , JOHARAPURAM ROAD , KURNOOL, ANDHRA PRADESH - 518002", KURNOOL, 518002, ANDHRA PRADESH, PPN, [08518]279897
427,VIJAYA HARSHA MOTHER & CHILD HOSPITAL - SRIKAKULAM,"ONE WAY TRAFFIC ROAD, NEAR SARASWATHI MAHAL, GONTI STREET,", SRIKAKULAM, 532001, ANDHRA PRADESH, PPN, [8942]220221
428,DHRUTHI HOSPITALS - GUNTUR,"D.NO:12-21-30,OPP ANDHRA BANK,GOWRI SANKAR THEATRE ROAD,KOTHAPET,GUNTUR,", GUNTUR, 522001, ANDHRA PRADESH, PPN, [863]2352354
429,DR.RAMESH MULTI SPECIALITY HOSPITAL - JAMMALAMADUGU,"Jammalamadugu, Kadapa YSR District. ,Beside LIC Office, Proddhutur Road, Jammalamadugu", JAMMALAMADUGU, 516434, ANDHRA PRADESH, PPN, [8560]7702243131
430,NANDYAL CRITICAL CARE CENTER - NANDYAL,"25-684-14-A, NEAR RYTHU BAZAR , TTD ROAD ,NANDYAL ,ANDHRA PRADESH - 518501", NANDYAL, 518501, ANDHRA PRADESH, PPN, [08514]222233
431,SYAMALA HOSPITAL - KADAPA,"#42/344-13-1, BHAGYANAGAR COLONY, APSRA BY-PASS ROAD, NEAR Y-JUNCTION, Opp. AMBEDKAR BHAVAN, KADAPA-516001", KADAPA, 516001, ANDHRA PRADESH, PPN, [8562]278787
432,KANAKADURGA HOSPITAL - Visakhapatnam,"Kankadurga Nursing Home Road, Near Zilla Parishad Junction, Visakhapatnam - 530002, Andhra Pradesh", VISAKHAPATNAM, 530002, ANDHRA PRADESH, PPN, [891]7965369
433,SRI SAI KIRAN MATERNITY FERTILITY HOSPITAL & IVF ART CENTRE - NELLORE,"D.NO .16-2-240, GANDHI NAGAR, POGHATOTA, NELLORE - 524001", NELLORE, 524001, ANDHRA PRADESH, PPN, [861]2354747
434,DR ANJI REDDY SUPER SPECIALITY HOSPITAL - NARASARAOPET,02-15-82, NARASARAOPET, 522601, ANDHRA PRADESH, PPN, [08647]222234
435,ADITYA MULTISPECIALITY HOSPITAL - GUNTUR,"3RD LANE, Gunturuvari Thota, Opposite Street to RTC Palnadu Bustand", GUNTUR, 522001, ANDHRA PRADESH, PPN, [863]2266999
436,NAVYA SREE HOSPITAL - KADAPA,"NAVYA SREE HOSPITAL, 4/621, GANDHI ROAD, PRODDATUR,YSR KADAPA,ANDHRA PRADESH-516360", KADAPA, 516360, ANDHRA PRADESH, PPN, [8564]9963000513
437,PRASAD MULTI SPECIALITY HOSPITAL - MADANAPALLE,D.NO. 15-15-5 NUTHI RADHA KRISHNA (ST)MADANAPALLE CHITTOOR-517325, MADANAPALLE, 517325, ANDHRA PRADESH, PPN, [8571]221606
438,VURIMI SAVITHRAMMA HOSPITAL - KADAPA,"# 42/201-3-2 MAIN ROAD N G O COLONY OPP UNION BANK KADAPA, N G O COLONY, KADAPA, ANDHRA PRADESH - 516002", KADAPA, 516002, ANDHRA PRADESH, PPN, [8562]253103-253104
439,HAPPY MULTI SPECIALITY HOSPITAL - TENALI,"D.NO:2-2-23,GANDHI NAGAR, OPP:OLD GOVT HOSPITAL ROAD, URBAN, TENALI, ANDHRA PRADESH", TENALI, 522201, ANDHRA PRADESH, PPN, [8644]222425
440,KRISHNA MULTI SPECIALITY HOSPITAL - RAYACHOTI,"#675/2B-1, BRAHMIN SREET,NEAR SHIVALAYAM,RAYACHOTI-516269", RAYACHOTY, 516269, ANDHRA PRADESH, PPN, [8561]9502312570
441,UNION HOSPITALS (A UNIT OF SRI SWARNODAYA HEALTHCARE LLP) - VIJAYAWADA,"D.NO.29-4-7, KODANDARAMI REDDY STREET, GOVERNERPET, NAKKAL ROAD, VIJAYAWADA - 520002", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [866]2435355
442,TOPSTARS HOSPITALS PRIVATE LIMITED - VIJAYAWADA,"#10-35, BANDAR ROAD,KANURU, VIJAYAWADA, ANDHRA PRADESH", VIJAYAWADA, 520007, ANDHRA PRADESH, PPN, [866]8886718181
443,V.G.R DIABETES SPECIALITIES HOSPITAL - VIJAYAWADA,"# 40-5-19/18/B ,A.S RAMARAO ROAD, MOGHALRAJPURAM ,VIJAYAWADA", VIJAYAWADA, 520010, ANDHRA PRADESH, PPN, [0866]2485933
444,DR PSR ANJANEYULU AND MEENAKSHI EYE HOSPITAL - GUNTUR,"12-13-100/6,SAGAR ROAD, MACHERLA, GUNTUR", GUNTUR, 522426, ANDHRA PRADESH, PPN, [8642]226111
445,PEOPLES CLINIC - Vijayawada,"Palaprathivari street,governorpet,", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [0866]2577089
446,VASUDHAKALYAN MULTI SPECIALITY HOSPITAL - ONGOLE,20-7-55/1, ONGOLE, 523002, ANDHRA PRADESH, PPN, [08592]226123
447,MODERN EYE HOSPITAL AND RESEARCH CENTRE - ONGOLE,"7-13-1, LAWAYER PET EXTENSION 5 th Line", ONGOLE, 523002, ANDHRA PRADESH, PPN, [08592]220522
448,DBR &SK SUPER SPECIALITY HOSPITAL - TIRUPATHI,"20-7-37,NEAR TMC,MARUTHI NAGAR, KORLAGUNTA, TIRUPATHI", TIRUPATHI, 517501, ANDHRA PRADESH, PPN, [O877]9296057459
449,NARAYANADRI HOSPITALS AND RESEARCH INSTITUE PRIVATE LIMITED - TIRUPATI,"73/1A, RENIGUNTA ROAD, BESIDE VAARTHA PRESS, TIRUPATI", TIRUPATHI, 517506, ANDHRA PRADESH, PPN," [0877]0877-2233449,7032997521,25"
450,KIMS ICON HOSPITAL,D.NO. 32-11-2 SHEELANAGAR, VISAKHAPATNAM, 530012, ANDHRA PRADESH, Other, [891]7100100
451,Saveera Insititute of Medical Sciences Pvt Ltd-Anantapur,"#1-1348,SRI NAGAAR COLONY EXTENSION,ANANTAPUR-51504", ANANTHAPUR, 515004, ANDHRA PRADESH, PPN, [08554]234234
452,UMKAL HOSPITAL AND M. P. HEART RESEARCH INSTITUTE - Gurgaon,"A - 520, Sushant Lok - I", PORT BLAIR, 122002, ANDAMAN AND NICOBAR, PPN, [0124]4666555 / 8860077501
453,DR.AGARWAL'S EYE HOSPITAL LTD - PORT BLAIR,"NO.32/4. NEAR RADHA GOVIND TEMPLE,RGT ROAD,", PORT BLAIR, 744101, ANDAMAN AND NICOBAR, Other, [3192]244222
454,CHINTPURNI MEDICAL COLLEGE & HOSPITAL - PATHANKOT,"DALHOUSIE ROAD, NEAR DLM RESORT, BUNGAL, PATHANKOT, PUNJAB - 145001", PORT BLAIR, 145001, ANDAMAN AND NICOBAR, PPN, [1870]9646961444
455,DEVENDAR REDDY SUPER SPECIALITY HOSPITAL - NIRMAL,"H.No.1-3-14/16, Shastry Nagar, Mancherial Road, Nirmal, Telangana - 504106", PORT BLAIR, 504106, ANDAMAN AND NICOBAR, PPN, [8734]242999
456,ASG HOSPITAL PVT. LTD - GUWAHATI,"SHUBHAM REDSTONE, 1ST FLOOR,G.S. STONE, DOWNTOWN", GUWAHATI, 781006, ASSAM, PPN," [361]2134902, 2134903"
457,MEDILAND HOSPITAL & RESEARCH CENTRE- SILCHAR,"ITKHOLS, SILCHAR", SILCHAR, 788002, ASSAM, Other, [3842]261828
458,JORHAT LIONS EYE HOSPITAL - JORHAT,M.G.ROAD (NA-ALI), JORHAT, 785001, ASSAM, PPN, [376]9181154528
459,SUN VALLEY HOSPITAL - GUWAHATI,"PURBANCHAL PATH, MATHURA NAGAR", GUWAHATI, 781006, ASSAM, PPN, [361]2336600/ 2334762
460,DOWN TOWN HOSPITAL LTD. - Guwahati,"G. S. Road, Dispur", GUWAHATI, 781006, ASSAM, Other, [0361]2331003 / 09954766382
461,AGILE HOSPITALS PVT LTD - GUWAHATI,JAYANAGAR CHARIALI, GUWAHATI, 781022, ASSAM, Other, [0361]2307611
462,EAST-END NURSING HOME & RESEARCH INSTITUTE - GUWAHATI,"MRD ROAD, BAMUNIMAIDAM", GUWAHATI, 781021, ASSAM, PPN, [361]2550334/2556008/9707025217 (M)
463,WINTROBE HOSPITAL - GUWAHATI,"G.N.B Road, Ambari", GUWAHATI, 781001, ASSAM, PPN, [0361]2519860
464,NORTH EASTERN MEDICAL RESEARCH INSTITUTE (ARYA HOSPITAL) - GUWAHATI,"A.M Road, Rehabari", GUWAHATI, 781008, ASSAM, Other, [0361]2606665/2608263
465,MEDICURE CENTRE ( MALPANI NURSING HOME ) - Jorhat,"RAJAMAIDAM ROAD, NEAR HOTEL JORA PLACE,", JORHAT, 785001, ASSAM, Other, [0376]2321730
466,INSTITUTE OF MEDICAL SCIENCE & RESEARCH HPSPITAL-JORHAT-ASSAM,"Near MEGHA BIBAH BHAWAN,A.T. ROAD, WESTERN BY-PASS", JORHAT, 785006, ASSAM, PPN, [0376]2372179
467,EAST POINT HOSPITAL AND RESEARCH CENTRE - Sivasagar,B.G. Road, SIVASAGAR, 785640, ASSAM, Other, [03772]221066 / 223295
468,CHANDRAPRABHA EYE HOSPITAL(A UNIT OF CATARACT & IOL HOSPITAL PVT LTD)-JORHAT,K.K HANDIQUE PATH, JORHAT, 785001, ASSAM, PPN, [0376]2304500
469,DR. DAMANIS NURSING HOME - Dibrugarh,"LBG AVENUE, NEAR CIRCUIT HOUSE,", DIBRUGARH, 786001, ASSAM, Other, [0373]2300928
470,JEEVAN JYOTI NURSING HOME - TINSUKIA,"PARBATIA, TINSUKIA", TINSUKIA, 786125, ASSAM, Other," [0374]9435135979, 7002969058, 9435035479"
471,NEMCARE HOSPITALS PVT. LTD-BHANGAGARH-GUWAHATI,"G M C H ROAD, BHANGAGARH, GUWAHATI", GUWAHATI, 781005, ASSAM, Other, [361]2469697
472,MARWARI HOSPITALS-GUWAHATI,"SATI JOYMATI ROAD, ATHGAON, GUWAHATI", GUWAHATI, 781008, ASSAM, PPN," [0361]2602738/2602739, 2731150, 2541201/2541202"
473,AYURSUNDRA HEALTH CARE PVT LTD - GUWAHATI,"OPP DPS, AHOMGAON, GORCHUK, GUWAHATI 781035", GUWAHATI, 781035, ASSAM, PPN, [361]7111080
474,DISPUR POLYCLINIC AND HOSPITALS PVT LTD - GUWAHATI,"HENGERABARI ROAD,GANESHGURI CHARI ALI,GUWAHATI", GUWAHATI, 781006, ASSAM, PPN, [361]7670007615
475,EXCELCARE HOSPITALS - GUWAHATI,"PASCHIM BORAGAON, NH 37, NEAR GANESH MANDIR", GUWAHATI, 781033, ASSAM, PPN, [361]7140101
476,Archana Trauma and Orthopedics Hospital and Research Centre-Dibrugarh-Assam,"Paltan Bazar, Dibrugarh", DIBRUGARH, 786005, ASSAM, PPN, [0-373]2302100
477,DR DAS HOSPITAL & DIAGNOSTIC CENTRE - NORTH LAKHIMPUR,"NAKARI, WARD NO -3", NORTH LAKHIMPUR, 787001, ASSAM, PPN, [3752]244255
478,GUWAHATI EYE CLININC & RESEARCH CENTRE -GUWAHATI,"OPP-HANUMAN MANDIR, LACHIT NAGAR ,G.S ROAD", GUWAHATI, 781007, ASSAM, PPN, [361 ]0361-2529655
479,H.M.POLY CLINIC & DIAGNOSTIC CENTER - DIBRUGARH,"BORDOLOI AVENUE, AMC ROAD", DIBRUGARH, 786001, ASSAM, PPN, [373]2301600
480,NEMCARE HOSPITALS PVT. LTD-BHANGAGARH-GUWAHATI,"G M C H ROAD, BHANGAGARH, GUWAHATI", GUWAHATI, 781005, ASSAM, Other, [361]2469697
481,PRATIKSHA HOSPITAL - Guwahati,"Barbari, Hengarabari, V.I.P. Road", GUWAHATI, 781036, ASSAM, Other, [0361]7101600
482,MARWARI HOSPITALS-GUWAHATI,"SATI JOYMATI ROAD, ATHGAON, GUWAHATI", GUWAHATI, 781008, ASSAM, PPN," [0361]2602738/2602739, 2731150, 2541201/2541202"
483,AYURSUNDRA HEALTH CARE PVT LTD - GUWAHATI,"OPP DPS, AHOMGAON, GORCHUK, GUWAHATI 781035", GUWAHATI, 781035, ASSAM, PPN, [361]7111080
484,DISPUR POLYCLINIC AND HOSPITALS PVT LTD - GUWAHATI,"HENGERABARI ROAD,GANESHGURI CHARI ALI,GUWAHATI", GUWAHATI, 781006, ASSAM, PPN, [361]7670007615
485,EXCELCARE HOSPITALS - GUWAHATI,"PASCHIM BORAGAON, NH 37, NEAR GANESH MANDIR", GUWAHATI, 781033, ASSAM, PPN, [361]7140101
486,SRI SANKARADEVA NETHRALAYA -GUWAHATI,"96 BASISTHA ROAD, BELTOLA, GUWAHATI , ASSAM", GUWAHATI, 781028, ASSAM, Other," [361]0361-2233444,0361-2228922"
487,Archana Trauma and Orthopedics Hospital and Research Centre-Dibrugarh-Assam,"Paltan Bazar, Dibrugarh", DIBRUGARH, 786005, ASSAM, PPN, [0-373]2302100
488,ARUNA MEMORIAL HOSPITAL PVT. LTD - GUWAHATI,"RAJGARH ROAD,", GUWAHATI, 781005, ASSAM, Other, [0361]2529854
489,SANJIVANI HOSPITAL - JORHAT,"A.T. ROAD, TARAJAN,JORHAT", JORHAT, 785001, ASSAM, PPN, [0376]2301490
490,DR DAS HOSPITAL & DIAGNOSTIC CENTRE - NORTH LAKHIMPUR,"NAKARI, WARD NO -3", NORTH LAKHIMPUR, 787001, ASSAM, PPN, [3752]244255
491,GUWAHATI EYE CLININC & RESEARCH CENTRE -GUWAHATI,"OPP-HANUMAN MANDIR, LACHIT NAGAR ,G.S ROAD", GUWAHATI, 781007, ASSAM, PPN, [361 ]0361-2529655
492,NARAYANA SUPERSPECIALITY HOSPITAL - AMINGOAN,"NR TULARAM BAFNA CIVIL HOSPITAL,AMINGOAN,", AMINGOAN, 781031, ASSAM, PPN, [361]2680321
493,H.M.POLY CLINIC & DIAGNOSTIC CENTER - DIBRUGARH,"BORDOLOI AVENUE, AMC ROAD", DIBRUGARH, 786001, ASSAM, PPN, [373]2301600
494,SOUTH CITY HOSPITAL (A UNIT OF LOKNATH & ASSOCIATES) - SILCHAR,"Meherpur, Silchar", SILCHAR, 788015, ASSAM, Other, [03842]240372/991/443
495,SWASTIK NURSING HOME - TINSUKIA,"JYOTI NAGAR, NEW DEVELOPMENT, NAU-PUKHURI, ADJACENT TO NAU-PUKHURI PARK, TINSUKIA", TINSUKIA, 786125, ASSAM, PPN, [374]9435035933
496,THE RETINA CENTRE ( A UNIT OF CONFETTI HOLDINGS PVT LTD) - GUWAHATI,"5th & 6th FLOOR, SUBHAM BIJAY CRESCENT, RUKMINIGAON, GS ROAD, GUWAHATI-781022", GUWAHATI, 781022, ASSAM, Other, [361]9821465665
497,ASG Hospital Pvt. Ltd.- Guwahati,"Amaze Plaza, M.D. Saha Road, Opp:- Hotel Hornbill, Paltan Bazaar,Paltan Bazaar,Guwahati", GUWAHATI, 781006, ASSAM, PPN, [361]2738992
498,HEALTH CITY - GUWAHATI,"Koinadhara, NH-37", GUWAHATI, 781022, ASSAM, PPN, [361]7105000
499,PLEXUS HOSPITALS PRIVATE LIMITED - Dibrugarh,"Paltan Bazar, AMC Road, Dibrugarh, ASSAM", DIBRUGARH, 786001, ASSAM, PPN, [373]2301930
500,NALBARI MULTISPECIALITY HOSPITAL (UNIT OF HITECH HEALTH CARE PRIVATE LIMITED) - NALBARI,"ALTERNATIVE ROAD, NALBARI TOWN, NALBARI, ASSAM - 781335", NALBARI, 781335, ASSAM, PPN, [3624]6000378168
501,TIMeS Hospital (Tezpur Institute of Medical Sciences Private Limited) -Tezpur,"N.T Road, Deurigaon, Mission Charlia, Tezpur, Assam", TEZPUR, 784001, ASSAM, PPN, [3712]236236
502,EYE DOCTORS - GUWAHATI,"THIRD FLOOR, MAYUR HEIGHTS, OPPOSITE SOHUM EMPORIA, BHANGAGARH, GS ROAD, GUWAHATI", GUWAHATI, 781005, ASSAM, PPN, [361]8876518735
503,PARAS HMRI HOSPITAL - PATNA,"RAJA BAZAR,BAILEY ROAD PATNA14, NEAR IGIMS", PATNA, 800014, BIHAR, Other, [612]7107777
504,DRISHTI EYE CARE AND RESEARCH CENTRE - Patna,"B/22, Patrakar Nagar, Kakarbagh,", PATNA, 800020, BIHAR, PPN, []2352415
505,MAA JANKI HOSPITAL & RESEARCH CENTRE PVT. LTD. - MUZAFFARPUR,"BAIRIYA GOLAMBAR, NEAR DURGA MANDIR", MUZAFFARPUR, 842001, BIHAR, PPN, [621]2264374
506,RAHMANIA MEDICAL CENTRE - MOTIHARI,"NH-28A, BARIYARPUR,", MOTIHARI, 845401, BIHAR, PPN, [12504]580780
507,VEDANTA CENTRE FOR OPHTHALMIC SCIENCES - PATNA,"Vedanta Centre For Ophthalmic Sciences (Vedanta Netra Vigyan Kendra) 2nd. Floor, Legend Plaza", PATNA, 800014, BIHAR, Other, [612]25833312/584441
508,HARSAN HOSPITAL &TRAUMA CENTRE - GOPALGANJ,"BANJARI,GOPALGANJ", GOPALGANJ, 841428, BIHAR, PPN, []9431407729
509,SIDDHARTH MULTISPECIALTY HOSPITAL PVT. LTD. - PATNA,ROAD NO 5-A, PATNA, 800016, BIHAR, PPN, [612]2680312
510,GHSPL BEGUSARAI HEALTHCARE LLP-BEGUSARAI,SHUSHIL NAGAR, BEGUSARAI, 851134, BIHAR, PPN, [06243]8697723965
511,NARAYAN MEDICAL COLLEGE & HOSPITAL - SASARAM,"AT+P.O-JAMUHAR,DIST-ROHTAS.", SASARAM, 821305, BIHAR, PPN, [06184]281899
512,PRASHANT MEMORIAL CHARITABLE HOSPITAL - Muzaffarpur,"Juran Chapra, Road No-4", MUZAFFARPUR, 842001, BIHAR, Other, [0621]2227035/2216860
513,CHANAKYA HOSPITAL - PATNA,"N-7, PATRAKAR NAGAR, KANKARBAGH, PATNA.", PATNA, 800013, BIHAR, PPN, [0612]800020
514,FORD HOSPITAL & RESEARCH CENTRE P LTD-PATNA,"NEW BY PASS(NH-30),KHEMNICHAK,P.S-RAMKRISHNA NAGAR", PATNA, 800027, BIHAR, PPN," [0612]3215884 ,85 ,86"
515,SHIVA HOSPITAL-PATNA,"GC/3-B, OPPOSIT-RAJPRABHA COMMUNITY HALL,KANKARBAGH", PATNA, 800020, BIHAR, Other, [0612]3214755
516,ANANDITA HOSPITAL - PATNA,ROAD NO. 13/C, PATNA, 800016, BIHAR, PPN, [612]2660360
517,PARAS GLOBAL HOSPITAL-DARBHANGA,VIP ROAD, DARBHANGA, 846003, BIHAR, Other, [6272]667700
518,SIDDHARTH MULTISPECIALTY HOSPITAL PVT. LTD. - PATNA,ROAD NO 5-A, PATNA, 800016, BIHAR, PPN, [612]2680312
519,"CNS HOSPITAL PVT LTD - PATLIPUTRA, PATNA","8/1,PATLIPUTRA INDUSTRIAL ESTATE", PATNA, 800013, BIHAR, PPN, [0612]PRASHANT KUMAR 7544014501
520,I.B.SMRITI AROGYA SADAN - DARBHANGA,DIGGHI WEST MISHRATOLA, DARBHANGA, 846004, BIHAR, PPN, []250823
